Date,0
2023-02-08,[0.09922668]
2023-02-09,[0.09933722]
2023-02-10,[0.09955464]
2023-02-13,[0.09966109]
2023-02-14,[0.09968604]
2023-02-15,[0.09970838]
2023-02-16,[0.09958885]
2023-02-17,[0.09977098]
2023-02-21,[0.09978643]
2023-02-22,[0.10007112]
2023-02-23,[0.10018008]
2023-02-24,[0.10018031]
2023-02-27,[0.10028493]
2023-02-28,[0.10028458]
2023-03-01,[0.10022815]
2023-03-02,[0.10024552]
2023-03-03,[0.1001308]
2023-03-06,[0.09972512]
2023-03-07,[0.09945828]
2023-03-08,[0.09949435]
2023-03-09,[0.09918401]
2023-03-10,[0.09916404]
2023-03-13,[0.09927981]
2023-03-14,[0.09933554]
2023-03-15,[0.09924338]
2023-03-16,[0.09926529]
2023-03-17,[0.09937239]
2023-03-20,[0.09932005]
2023-03-21,[0.09936252]
2023-03-22,[0.09908982]
2023-03-23,[0.09916717]
2023-03-24,[0.09915386]
2023-03-27,[0.09893736]
2023-03-28,[0.09899729]
2023-03-29,[0.09906879]
2023-03-30,[0.09897666]
2023-03-31,[0.09889983]
2023-04-03,[0.09868234]
2023-04-04,[0.0985917]
2023-04-05,[0.09846441]
2023-04-06,[0.09853136]
2023-04-10,[0.09832579]
2023-04-11,[0.09817438]
2023-04-12,[0.09824581]
2023-04-13,[0.09816416]
2023-04-14,[0.09816929]
2023-04-17,[0.09795134]
2023-04-18,[0.09778942]
2023-04-19,[0.09761885]
2023-04-20,[0.09749419]
2023-04-21,[0.0973857]
2023-04-24,[0.09729912]
2023-04-25,[0.09731719]
2023-04-26,[0.09757449]
2023-04-27,[0.0979917]
2023-04-28,[0.09816249]
2023-05-01,[0.09818867]
2023-05-02,[0.09814688]
2023-05-03,[0.09824644]
2023-05-04,[0.09833642]
2023-05-05,[0.09841293]
2023-05-08,[0.09869634]
2023-05-09,[0.09875368]
2023-05-10,[0.09877571]
2023-05-11,[0.09874394]
2023-05-12,[0.09852625]
2023-05-15,[0.0984576]
2023-05-16,[0.09843337]
2023-05-17,[0.09842791]
2023-05-18,[0.09846609]
2023-05-19,[0.09839195]
2023-05-22,[0.09837004]
2023-05-23,[0.09834657]
2023-05-24,[0.09832826]
2023-05-25,[0.09788115]
2023-05-26,[0.09743538]
2023-05-30,[0.09729717]
2023-05-31,[0.09725844]
2023-06-01,[0.09725744]
2023-06-02,[0.09715781]
2023-06-05,[0.09702939]
2023-06-06,[0.09659149]
