Date,vol_20,vol_60,vol_120,vol_ratio_20_60,vol_ratio_60_120,skew_60,drawdown
2023-10-31,0.18277004913201114,0.17749173643432553,0.17606965521057538,1.0297383574228463,1.0080768104080704,-0.3628255585481858,-0.08065167660080991
2023-11-01,0.18871012314873223,0.1805664386823621,0.17770590080123524,1.0451007647146202,1.0160970337407444,-0.3719221034743037,-0.06500997769525828
2023-11-02,0.19845152224524007,0.18327034285490412,0.17943384045382346,1.08283489381779,1.0213811530276418,-0.36971955484133656,-0.05031862390617771
2023-11-03,0.19285536812731133,0.18441847919817492,0.1799055900066971,1.045748609173109,1.025084763576884,-0.3816944695446229,-0.04186782795299059
2023-11-06,0.19392133258028224,0.18495210912027876,0.1801440113098864,1.0484948428145286,1.0266903005846884,-0.41378854999871906,-0.035510160518901296
2023-11-07,0.19555522530554245,0.18511761444573252,0.180070216601749,1.056383672029599,1.0280301647836998,-0.41009733795856884,-0.02734044326223421
2023-11-08,0.19445648138413196,0.18385998573745901,0.17906713800065496,1.057633506301932,1.0267656466190158,-0.45933584753793955,-0.024238006526838288
2023-11-09,0.19547642646649682,0.1838185752443639,0.17939089927321936,1.0634204198712522,1.0246817201378817,-0.4590824759482363,-0.03090111646534445
2023-11-10,0.2034767586632409,0.18694016484862794,0.18177118289267447,1.088459287644275,1.0284367514899513,-0.46532961423532093,-0.010514135298534314
2023-11-13,0.20341563696439532,0.18744642611034193,0.18063525010856887,1.0851934666636587,1.0377067930964707,-0.44286960286509264,-0.014984301172551241
2023-11-14,0.2095553237372149,0.18918009802202335,0.18209019799473186,1.1077027971135716,1.038936198133502,-0.40422127015093484,0.0
2023-11-15,0.20369889846439454,0.18903824996472832,0.17959687274456124,1.0775538733690229,1.052569830843299,-0.40918635036446865,0.0
2023-11-16,0.20193917160484767,0.18727008614690793,0.17805504478338008,1.0783311726915759,1.0517538909090656,-0.409094556199242,0.0
2023-11-17,0.19439782257594457,0.1824754993785532,0.17823313656641743,1.0653365697750907,1.0238023237085034,-0.41151932758980103,-0.004077093712538767
2023-11-20,0.1959722849122337,0.18323399277144728,0.17880100512762484,1.0695192630369368,1.0247928563973019,-0.4091166799639277,0.0
2023-11-21,0.19957024073128443,0.1835520037126823,0.17829308678372666,1.0872681130938555,1.029495910491105,-0.36108449856075203,-0.005984600218070374
2023-11-22,0.1809337922989653,0.18029312351292812,0.1779256615240649,1.0035534843124023,1.0133059052223505,-0.39377998831653677,0.0
2023-11-24,0.14859505496017872,0.17941545382689447,0.17791207379296772,0.8282177024926057,1.0084501293356638,-0.3762427303925498,-0.001448473444406288
2023-11-27,0.14919103005396017,0.17933675276443672,0.17785093434774552,0.8319043796333611,1.008354290755572,-0.37499938356449547,-0.001555117142449905
2023-11-28,0.14598499315835678,0.1793355252919782,0.17609108395824902,0.814032763004859,1.0184247905163581,-0.38094826862317144,0.0
2023-11-29,0.15021726820479842,0.17934184796043828,0.1757038626186625,0.8376029906747444,1.0207052098204092,-0.3587898847291231,-0.0039487176026407255
2023-11-30,0.1436312020349858,0.1750830720682188,0.17572281380249197,0.8203603029025092,0.9963593700759185,-0.3288970067878079,-0.0029389181194973387
2023-12-01,0.13659281072919194,0.17236244215713772,0.17491844851945126,0.7924743292083569,0.9853874397815202,-0.31923164639733936,-0.0024636526305552415
2023-12-04,0.14099984870941543,0.17349395010113172,0.1753390858944106,0.812707582179234,0.9894767570854679,-0.2671654031695496,-0.01179579101149406
2023-12-05,0.14295807711332328,0.17399269255192323,0.17583128488290747,0.8216326502945602,0.9895434289056773,-0.23958086281671456,-0.005942494782070852
2023-12-06,0.14366941673986558,0.1720687546618173,0.17431972570961798,0.8349535452978224,0.987087112266627,-0.24199162658918438,-0.012227169322604162
2023-12-07,0.14616481636462308,0.17218940050953324,0.1743764012853958,0.8488607076399612,0.9874581608535252,-0.2645601087726945,-0.0030869360075866177
2023-12-08,0.14275120047853362,0.17182553491778343,0.17428478023943858,0.8307915383289128,0.9858895004011449,-0.2590804465659608,0.0
2023-12-11,0.12898186683684715,0.16931344586285627,0.17404606874722175,0.7617934073666089,0.9728082172816038,-0.2694131593459362,-0.0002494947373805284
2023-12-12,0.12756957878313896,0.16894399900684356,0.17338064520761556,0.7550997936184249,0.97441094883769,-0.29613732443188423,0.0
2023-12-13,0.12039995183240536,0.17057651462389678,0.17373364521934115,0.7058413175921349,0.981827753677427,-0.31094420095188674,0.0
2023-12-14,0.12530164249511253,0.16761010970834664,0.1734544113816778,0.7475780709955157,0.9663064108501047,-0.3215072104058526,-0.004959276223007004
2023-12-15,0.12426672655574829,0.16478911648956263,0.1723871566788102,0.7540954718548968,0.9559245576316098,-0.32069677410610764,-0.0011840995664471798
2023-12-18,0.12356202514831126,0.1649154126446933,0.17255923151324362,0.749244859329934,0.9557032167939178,-0.33842990869882184,0.0
2023-12-19,0.1172776435214127,0.16492155287162452,0.1726324937441981,0.7111116860068739,0.9553332011527366,-0.33924317521265834,0.0
2023-12-20,0.12640011492863354,0.16239534259376867,0.17215909956897305,0.7783481527843008,0.9432864309836108,-0.2975539936550317,-0.011968038815786786
2023-12-21,0.12744750123109766,0.16260927278628598,0.1724138759475178,0.7837652739435056,0.9431333289890408,-0.3234973168093095,-0.003792001291402266
2023-12-22,0.12707491849169256,0.16262031337447136,0.1724069502655559,0.7814209421615909,0.9432352531263366,-0.3038869077078413,-0.002754201750218767
2023-12-26,0.1268226036122568,0.16267090206160598,0.17211597447913077,0.779626854003841,0.9451237896650319,-0.30737966244508846,0.0
2023-12-27,0.12528086619380857,0.16134490430324167,0.17182357193840364,0.7764786048547768,0.9390149586756441,-0.2890060798379516,0.0
2023-12-28,0.12389444189293064,0.15637160598243033,0.1713030019083716,0.7923077921630557,0.9128363440243275,-0.2801320507723132,0.0
2023-12-29,0.12514900053144512,0.15557423735900627,0.17131212432726317,0.8044326789315942,0.9081332565919719,-0.2327874011992654,-0.0023708326244749776
2024-01-02,0.1436699686592525,0.16224408970954576,0.1733198949946126,0.8855174257284489,0.9360961689631124,-0.358147487461241,-0.017277843903596622
