Date,vol_20,vol_60,vol_120,vol_ratio_20_60,vol_ratio_60_120,skew_60,drawdown,risk_label
2015-06-25,0.1131124965150476,0.1675179370099115,0.1936492223132038,0.6752261789634811,0.8650586612683206,0.8584718150951336,-0.0139389232322917,0
2015-06-26,0.1105095165217772,0.1678386898856325,0.1915363979753882,0.6584269490966583,0.8762756930784469,0.8559076731609114,-0.0174009328708132,0
2015-06-29,0.129978179134684,0.1740936438198226,0.1937188096658725,0.7465992225954231,0.8986925127203725,0.6562720283359731,-0.0383430212409355,0
2015-06-30,0.1314483644455846,0.1714612897985523,0.1928546056777708,0.7666358080008708,0.8890702360774138,0.7234915027293812,-0.0362799771410339,0
2015-07-01,0.1356264770115181,0.1719558481680244,0.1895201825832919,0.7887284931361708,0.9073220900494426,0.6808083358973873,-0.0286049130058389,0
2015-07-02,0.1332603942624148,0.1716231771455365,0.1892181492762507,0.7764708501428688,0.9070122385298978,0.6924822833770184,-0.0292055137894804,0
2015-07-06,0.1330876930869738,0.1713103357967425,0.1879433185979677,0.7768806970577687,0.9115000047604512,0.727889509339858,-0.0315815331563849,0
2015-07-07,0.1311026993864822,0.1712601519864696,0.1879369968846853,0.7655178269188966,0.9112636406101122,0.7442337236100783,-0.0281795944806201,0
2015-07-08,0.1451659890396482,0.1755818575517032,0.1898082344851567,0.8267710062066153,0.9250486841519724,0.6864883757541745,-0.0436253747931747,0
2015-07-09,0.1366676987566716,0.1766627692283358,0.1887818318101221,0.7736078142193571,0.9358038723028408,0.6707815183326706,-0.0438027903925468,0
2015-07-10,0.1502931132068279,0.1796768260732707,0.1893237051578078,0.8364635356233401,0.9490455826622656,0.7427683875202498,-0.0310881654086339,0
2015-07-13,0.1612438625195639,0.1830257691221524,0.1900978281002153,0.8809899463498436,0.9627977918067814,0.7066892021011646,-0.0168128001588947,0
2015-07-14,0.1599511947457412,0.1808456773943848,0.1899731350591808,0.8844623606729771,0.9519539556898262,0.6824732887487772,-0.0125707496403361,0
2015-07-15,0.1594447726120836,0.1768750932003205,0.18762658790167,0.9014540698022636,0.9426973819564202,0.7382854658585097,-0.0113047750526935,0
2015-07-16,0.1670750549229638,0.1787289768872011,0.1885478810906843,0.9347955649542362,0.947923550523696,0.6863936553541885,0.0,0
2015-07-17,0.163612836686533,0.1789237814585218,0.1889604373263299,0.9144275587784948,0.9468848823075328,0.708001525109413,0.0,0
2015-07-20,0.1625281718853391,0.1795997264855206,0.1761646945720573,0.9049466559095354,1.019498980325245,0.7160981842000257,0.0,0
2015-07-21,0.1633899369657416,0.155600003238728,0.1708596215526219,1.050063840391198,0.9106891483474688,-0.0162321466964977,-0.0021285906079777,0
2015-07-22,0.1911956271061703,0.1638935466955312,0.1734570662068697,1.1665842308078114,0.9448652065870132,-0.23350378848511,-0.0141483146854657,0
2015-07-23,0.1912116392348623,0.1623137465579091,0.1710855669539608,1.1780372475515697,0.9487284605462236,-0.2491229971496924,-0.016712317702063,0
2015-07-24,0.1935814793622163,0.1625396065570772,0.1705473154832833,1.1909803614187933,0.9530469951783502,-0.249856326846604,-0.025588096485487,0
2015-07-27,0.195805408451632,0.1603518530031087,0.1705882715036382,1.2210985079657048,0.939993421527158,-0.2263549041043321,-0.033396160862801,0
2015-07-28,0.1809225712419503,0.1577823688186617,0.1709503603640511,1.1466589872908008,0.9229718409639666,-0.2723320204756697,-0.0245312056408238,1
2015-07-29,0.1836850824000693,0.1591741507034675,0.1709124728376524,1.1539881418451188,0.9313196869760636,-0.2777408362117325,-0.0179457075596979,1
2015-07-30,0.1827740391653518,0.1561583277857207,0.1709233184091146,1.17044055067081,0.9136162885156892,-0.3062970378248996,-0.0153914549163423,1
2015-07-31,0.1834065469754149,0.1536987648647705,0.1709234212844929,1.1932857569596105,0.8992258855440717,-0.283197421606385,-0.0176058412587788,1
2015-08-03,0.186308027990686,0.1547658843012883,0.1705228083305879,1.203805533963761,0.9075963844159072,-0.2411129991247992,-0.0217422483548524,1
2015-08-04,0.191963460589302,0.1541623956315929,0.1713227317510562,1.2452028901266148,0.8998361983604224,-0.2787407856943921,-0.0238810045897993,1
2015-08-05,0.1808998636233589,0.1540198849125568,0.1705565183022146,1.17452278143217,0.903043087685714,-0.3308297208595142,-0.0194184938877806,1
2015-08-06,0.18850128973839,0.1566030362431419,0.1712502044745676,1.20368860183351,0.9144691927442286,-0.3432072573693138,-0.0303890551542643,1
2015-08-07,0.1792144227228923,0.1565767638248214,0.1712276385145941,1.144578661259074,0.914436274325398,-0.3327694228422399,-0.0311624409539534,1
2015-08-10,0.1823103098435614,0.1574095082590237,0.173571651845522,1.1581912164007424,0.9068848892393874,-0.2798763721459727,-0.0175504938690779,1
2015-08-11,0.2016869385368411,0.1657560243061506,0.1778278787465645,1.216769884419563,0.93211494999826,-0.3810522316626298,-0.0319956610407642,1
2015-08-12,0.2030626087335436,0.1660547626139766,0.1778742404967861,1.222865309835155,0.933551492055292,-0.3870375893880253,-0.0284922462340922,1
2015-08-13,0.195173285283766,0.1660519787300994,0.1769556058495345,1.175374643388022,0.9383821322467374,-0.3872743777089744,-0.0296605706862179,1
2015-08-14,0.1922723606837625,0.1664075599775319,0.1770421447144586,1.1554304426416857,0.9399319029145368,-0.4041830779163319,-0.026241231277133,1
2015-08-17,0.1921601678881544,0.1667987346078651,0.1766723641344376,1.1520481155921996,0.9441133333164702,-0.4171488678591551,-0.0195186886800686,1
2015-08-18,0.1919602192489787,0.1664084966948523,0.1765420397985048,1.1535481845075577,0.942599829959944,-0.418239715720293,-0.0222346260248387,1
