Date,AAPL,MSFT,QQQ,SPY
2015-01-02,24.237552642822266,39.85845184326172,94.78446197509766,170.58961486816406
2015-01-05,23.55474090576172,39.49192428588867,93.39405822753906,167.50885009765625
2015-01-06,23.556957244873047,38.91229248046875,92.14179992675781,165.93109130859375
2015-01-07,23.887279510498047,39.406681060791016,93.32958984375,167.99876403808594
2015-01-08,24.805082321166992,40.56595230102539,95.11592864990234,170.97987365722656
2015-01-09,24.831689834594727,40.224971771240234,94.48977661132812,169.6097869873047
2015-01-12,24.219816207885742,39.72207260131836,93.50454711914062,168.28111267089844
2015-01-13,24.43484878540039,39.51749038696289,93.47692108154297,167.8077850341797
2015-01-14,24.341745376586914,39.176536560058594,92.96131134033203,166.79466247558594
2015-01-15,23.68110466003418,38.76737594604492,91.75507354736328,165.26673889160156
2015-01-16,23.497095108032227,39.41519546508789,92.83238983154297,167.43408203125
2015-01-20,24.10232162475586,39.54307174682617,93.56900024414062,167.79112243652344
2015-01-21,24.28632164001465,39.14243698120117,94.04782104492188,168.63816833496094
2015-01-22,24.918140411376953,40.173851013183594,95.78804779052734,171.14601135253906
2015-01-23,25.046720504760742,40.21646499633789,95.99987030029297,170.2076416015625
2015-01-26,25.07332420349121,40.07154846191406,95.88936614990234,170.6062469482422
2015-01-27,24.19542694091797,36.36359405517578,93.40326690673828,168.3558349609375
2015-01-28,25.563268661499023,35.11055374145508,92.92445373535156,166.19679260253906
2015-01-29,26.359140396118164,35.80953598022461,93.81761169433594,167.7330780029297
2015-01-30,25.9733943939209,34.43715286254883,93.0902099609375,165.62379455566406
2015-02-02,26.299285888671875,35.1872673034668,93.90046691894531,167.6748809814453
2015-02-03,26.3037166595459,35.46004104614258,94.80286407470703,170.09970092773438
2015-02-04,26.505456924438477,35.66461181640625,94.7199935913086,169.4519500732422
2015-02-05,26.69464111328125,36.184600830078125,95.53947448730469,171.16261291503906
2015-02-06,26.4698486328125,36.150489807128906,94.95938873291016,170.6892547607422
2015-02-09,26.645671844482422,36.10788345336914,94.65552520751953,169.92532348632812
2015-02-10,27.157575607299805,36.31244659423828,96.12874603271484,171.73558044433594
2015-02-11,27.79411506652832,36.12493896484375,96.47864532470703,171.83518981933594
2015-02-12,28.14577293395996,36.73013687133789,97.60202026367188,173.48776245117188
2015-02-13,28.283763885498047,37.3950080871582,98.43988800048828,174.20187377929688
2015-02-17,28.4506893157959,37.412174224853516,98.53199768066406,174.47589111328125
2015-02-18,28.64876937866211,37.36924743652344,98.67010498046875,174.49249267578125
2015-02-19,28.58868408203125,37.343502044677734,99.15812683105469,174.36793518066406
2015-02-20,28.82237434387207,37.65254211425781,99.82103729248047,175.41429138183594
2015-02-23,29.601360321044922,37.9015007019043,99.92233276367188,175.3893585205078
2015-02-24,29.4166316986084,37.849998474121094,99.9959945678711,175.88755798339844
2015-02-25,28.664352416992188,37.764156341552734,99.74739074707031,175.7380828857422
2015-02-26,29.027137756347656,37.82422637939453,100.25382232666016,175.530517578125
2015-02-27,28.590909957885742,37.643959045410156,99.81183624267578,174.93260192871094
2015-03-02,28.73111915588379,37.66971206665039,100.71420288085938,176.0369873046875
2015-03-03,28.791217803955078,37.15463638305664,100.24461364746094,175.3146209716797
2015-03-04,28.608713150024414,36.965763092041016,99.85789489746094,174.57557678222656
2015-03-05,28.1346492767334,37.00868606567383,100.0328598022461,174.76657104492188
2015-03-06,28.17694091796875,36.364845275878906,98.90029907226562,172.30853271484375
2015-03-09,28.297115325927734,36.78549575805664,99.18572235107422,173.02268981933594
2015-03-10,27.711774826049805,36.08155059814453,97.34416961669922,170.21595764160156
2015-03-11,27.20654296875,36.03861618041992,96.78253173828125,169.81732177734375
2015-03-12,27.698413848876953,35.2144889831543,97.41783142089844,171.9763641357422
2015-03-13,27.507007598876953,35.5235481262207,96.99427032470703,170.9217529296875
2015-03-16,27.80970001220703,35.67807388305664,98.24651336669922,173.20535278320312
2015-03-17,28.27486228942871,35.79826354980469,98.403076171875,172.6905517578125
2015-03-18,28.593135833740234,36.48502731323242,99.369873046875,174.76657104492188
2015-03-19,28.37724494934082,36.304744720458984,99.5171890258789,173.9693603515625
2015-03-20,28.021135330200195,36.81124496459961,100.16136169433594,175.5049591064453
2015-03-23,28.312698364257812,36.794071197509766,99.96757507324219,175.1629638671875
2015-03-24,28.196964263916016,36.82842254638672,99.60762786865234,174.17877197265625
2015-03-25,27.460264205932617,35.59220504760742,97.32810974121094,171.62632751464844
2015-03-26,27.651674270629883,35.37759017944336,96.995849609375,171.2176055908203
2015-03-27,27.43133544921875,35.17155075073242,97.38347625732422,171.60964965820312
2015-03-30,28.125741958618164,35.16298294067383,98.50016784667969,173.70326232910156
2015-03-31,27.6939640045166,34.90543746948242,97.45731353759766,172.1851806640625
2015-04-01,27.653902053833008,34.95694351196289,96.94970703125,171.57632446289062
2015-04-02,27.892045974731445,34.587799072265625,97.01432800292969,172.1934814453125
2015-04-06,28.34385871887207,35.66947555541992,97.80802917480469,173.35293579101562
2015-04-07,28.04561996459961,35.65229797363281,97.64189910888672,172.89422607421875
2015-04-08,27.954370498657227,35.55786895751953,98.4171142578125,173.47808837890625
2015-04-09,28.16802406311035,35.609375,99.03543853759766,174.2454833984375
2015-04-10,28.288217544555664,35.81541061401367,99.44151306152344,175.1963348388672
2015-04-13,28.232572555541992,35.849754333496094,99.1923599243164,174.40390014648438
2015-04-14,28.11016082763672,35.755332946777344,98.90625,174.73756408691406
2015-04-15,28.216989517211914,36.278987884521484,99.52459716796875,175.52163696289062
